"Case","Taste","Acetic Acid","H2S","Lactic Acid"
1,12.3,93.97229455035794,22.9886358420348,0.86
2,20.9,173.9903782027133,154.9341208816729,1.53
3,39,214.0051328468791,229.981759670985,1.57
4,47.9,317.0311392102191,1800.82468987104,1.81
5,5.6,105.9534662412183,45.01519052366997,0.99
6,25.9,297.9721423235682,2000.195090430286,1.09
7,37.3,362.1288182337142,6161.034618666497,1.29
8,21.9,436.1560098049299,2881.309046796117,1.78
9,18.1,134.0214685261614,46.99306323157929,1.29
10,21,189.0478202023681,64.97483233043855,1.58
11,34.9,311.0644109813929,464.9826067271843,1.68
12,57.2,630.1765385172657,2718.947130558328,1.9
13,0.7,87.97036531689318,20.00535524575865,1.06
14,25.9,187.9169293463923,140.0500697860757,1.3
15,54.9,469.1863386060317,855.7685893080434,1.52
16,40.9,581.1448283170228,14588.66301153218,1.74
17,15.9,119.9410053724344,49.99884974182383,1.16
18,6.4,224.0792984174071,109.9471724521235,1.49
19,18,189.9954263445567,480.1026811082233,1.63
20,38.9,229.981759670985,8638.636181714641,1.99
21,14,95.96657943780268,141.033859521514,1.15
22,15.2,199.9365367614798,184.9341840706834,1.33
23,32,233.9248710694702,10321.66125084778,1.44
24,56.7,348.9749000539856,26876.29633533355,2.01
25,16.8,214.0051328468791,39.01709954849662,1.31
26,11.6,421.1546054009285,25.00310457104625,1.46
27,26.5,637.7842117268714,1055.742933029466,1.72
28,0.7,206.0255108088309,49.99884974182383,1.25
29,13.4,330.9608200692073,800.3106781756247,1.08
30,5.5,481.063847316259,119.9410053724344,1.25
